Name,MappedName
Mercedes-Benz A-Class A 220 4MATIC,Mercedes-Benz A-Class A 220 4MATIC
Mercedes-Benz AMG SL 63 Base,Mercedes-Benz AMG SL 63 Base
Mercedes-Benz AMG E 53 Base 4MATIC,Mercedes-Benz AMG E 53 Base 4MATIC
Mercedes-Benz AMG GLS 63 Base 4MATIC,Mercedes-Benz AMG GLS 63 Base 4MATIC
Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz GLE 350 Base 4MATIC
Mercedes-Benz AMG GT C,Mercedes-Benz AMG GT C
Mercedes-Benz AMG CLA 45 Base 4MATIC,Mercedes-Benz AMG CLA 45 Base 4MATIC
Mercedes-Benz AMG GT 53 Base,Mercedes-Benz AMG GT 53 Base
Mercedes-Benz EQB 250 Base,Mercedes-Benz EQB 250 Base
Mercedes-Benz CLA 250 Base 4MATIC,Mercedes-Benz CLA 250 Base 4MATIC
Mercedes-Benz GLE 450 GLE 450,Mercedes-Benz GLE 450 GLE 450
Mercedes-Benz SL 450 SL 450,Other_Medium
Mercedes-Benz EQE 350 Base 4MATIC,Mercedes-Benz EQE 350 Base 4MATIC
Mercedes-Benz GLC 300 Base 4MATIC,Mercedes-Benz GLC 300 Base 4MATIC
Mercedes-Benz AMG GLC 43 4MATIC Coupe,Mercedes-Benz AMG GLC 43 4MATIC Coupe
Mercedes-Benz SLC 300 Base,Mercedes-Benz SLC 300 Base
Mercedes-Benz A-Class A 220,Mercedes-Benz A-Class A 220
Mercedes-Benz SL 450 Base,Mercedes-Benz SL 450 Base
Mercedes-Benz GLE 450 4MATIC,Mercedes-Benz GLE 450 4MATIC
Mercedes-Benz EQS 450+ 450,Mercedes-Benz EQS 450+ 450
Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,Other_Medium
Mercedes-Benz AMG CLA 35 Base 4MATIC,Mercedes-Benz AMG CLA 35 Base 4MATIC
Mercedes-Benz CLS 450 Base,Mercedes-Benz CLS 450 Base
Mercedes-Benz CLS 450 Base 4MATIC,Mercedes-Benz CLS 450 Base 4MATIC
Mercedes-Benz GLS 580 Base 4MATIC,Mercedes-Benz GLS 580 Base 4MATIC
Mercedes-Benz AMG CLS 53 4MATIC,Other_Medium
Mercedes-Benz EQB 250 250 4D Sport Utility,Other_Low
Mercedes-Benz Maybach S 580 4MATIC,Mercedes-Benz Maybach S 580 4MATIC
Mercedes-Benz GLB 250 Base,Mercedes-Benz GLB 250 Base
Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz GLS 450 Base 4MATIC
Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz AMG E 63 S 4MATIC
Mercedes-Benz GLE 580 4MATIC,Other_Medium
Mercedes-Benz AMG C 63 S,Mercedes-Benz AMG C 63 S
Mercedes-Benz AMG G 63 4MATIC,Mercedes-Benz AMG G 63 4MATIC
Mercedes-Benz AMG GLE 53 Base,Mercedes-Benz AMG GLE 53 Base
Mercedes-Benz Sprinter 3500 144 WB ROOF,Other_Low
Mercedes-Benz AMG S 63 Base 4MATIC,Mercedes-Benz AMG S 63 Base 4MATIC
Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,Other_Medium
Mercedes-Benz GLS 450 4MATIC,Mercedes-Benz GLS 450 4MATIC
Mercedes-Benz G-Class G 550 4MATIC,Mercedes-Benz G-Class G 550 4MATIC
Mercedes-Benz AMG C 43 Base 4MATIC,Mercedes-Benz AMG C 43 Base 4MATIC
Mercedes-Benz AMG CLA 35 4MATIC,Mercedes-Benz AMG CLA 35 4MATIC
Mercedes-Benz GL-Class GL 450 4MATIC,Other_Low
Mercedes-Benz Metris Base,Mercedes-Benz Metris Base
Mercedes-Benz AMG A 35 Base,Mercedes-Benz AMG A 35 Base
Mercedes-Benz EQS 580 Base 4MATIC,Mercedes-Benz EQS 580 Base 4MATIC
Mercedes-Benz SL 550 SL550,Other_Medium
Mercedes-Benz GLA 250 Base 4MATIC,Mercedes-Benz GLA 250 Base 4MATIC
Mercedes-Benz AMG E 53 4MATIC,Mercedes-Benz AMG E 53 4MATIC
Mercedes-Benz GLE 350 Base,Mercedes-Benz GLE 350 Base
Mercedes-Benz AMG GT 63 S 4-Door,Mercedes-Benz AMG GT 63 S 4-Door
Mercedes-Benz GLC 300 Base,Mercedes-Benz GLC 300 Base
Mercedes-Benz AMG GT 63 4-Door,Mercedes-Benz AMG GT 63 4-Door
Mercedes-Benz Maybach S S 600,Other_Medium
Mercedes-Benz S-Class S 450,Mercedes-Benz S-Class S 450
Mercedes-Benz GLA 250 Base,Mercedes-Benz GLA 250 Base
Mercedes-Benz E-Class E 350 4MATIC,Mercedes-Benz E-Class E 350 4MATIC
Mercedes-Benz AMG S AMG S 63 4MATIC,Mercedes-Benz AMG S AMG S 63 4MATIC
Mercedes-Benz AMG GLE 63 S,Mercedes-Benz AMG GLE 63 S
Mercedes-Benz AMG GT R,Mercedes-Benz AMG GT R
Mercedes-Benz CLA 250 Base,Mercedes-Benz CLA 250 Base
Mercedes-Benz E-Class E 350,Mercedes-Benz E-Class E 350
Mercedes-Benz AMG SL 43 4MATIC+,Other_Medium
Mercedes-Benz AMG GLE 63 S 4MATIC Coupe,Other_Medium
Mercedes-Benz E-Class 4MATIC,Mercedes-Benz E-Class 4MATIC
Mercedes-Benz EQB 350 4MATIC,Other_Medium
Mercedes-Benz AMG GLC 63 Base 4MATIC,Mercedes-Benz AMG GLC 63 Base 4MATIC
Mercedes-Benz S-Class S 550 4MATIC,Other_Low
Mercedes-Benz AMG GLE 43 Base 4MATIC,Mercedes-Benz AMG GLE 43 Base 4MATIC
Mercedes-Benz Maybach S 650 Base,Other_High
Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC
Mercedes-Benz AMG GLB 35 Base,Mercedes-Benz AMG GLB 35 Base
Mercedes-Benz GLC-Class GLC 300,Other_Low
Mercedes-Benz Sprinter 2500 Standard Roof,Mercedes-Benz Sprinter 2500 Standard Roof
Mercedes-Benz EQB 350 Base 4MATIC,Mercedes-Benz EQB 350 Base 4MATIC
Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz C-Class C 300 4MATIC
Mercedes-Benz GLS 580 4MATIC,Mercedes-Benz GLS 580 4MATIC
Mercedes-Benz AMG E 53 E 53 AMG,Other_Medium
Mercedes-Benz GLB 250 Base 4MATIC,Mercedes-Benz GLB 250 Base 4MATIC
Mercedes-Benz AMG CLS 53 Base 4MATIC,Other_Medium
Mercedes-Benz EQE 350+ Base,Mercedes-Benz EQE 350+ Base
Mercedes-Benz AMG GLC 43 Base 4MATIC,Mercedes-Benz AMG GLC 43 Base 4MATIC
Mercedes-Benz AMG E 53 ,Other_Medium
Mercedes-Benz AMG G 63 Base,Mercedes-Benz AMG G 63 Base
Mercedes-Benz E-Class E 450 4MATIC,Mercedes-Benz E-Class E 450 4MATIC
Mercedes-Benz AMG GLE 43 Coupe 4MATIC,Other_Low
Mercedes-Benz AMG SL 55 Base,Mercedes-Benz AMG SL 55 Base
Mercedes-Benz Maybach S 560 Base 4MATIC,Other_Medium
Mercedes-Benz Maybach GLS 600 4MATIC,Mercedes-Benz Maybach GLS 600 4MATIC
Mercedes-Benz AMG SLC 43 Base,Mercedes-Benz AMG SLC 43 Base
Mercedes-Benz AMG GLE 53 4MATIC,Mercedes-Benz AMG GLE 53 4MATIC
Mercedes-Benz A-Class 4MATIC,Mercedes-Benz A-Class 4MATIC
Mercedes-Benz AMG GLA 45 Base,Mercedes-Benz AMG GLA 45 Base
Mercedes-Benz AMG GLE 63 S-Model 4MATIC,Mercedes-Benz AMG GLE 63 S-Model 4MATIC
Mercedes-Benz AMG GT 43 Base,Mercedes-Benz AMG GT 43 Base
Mercedes-Benz EQE 500 4MATIC,Other_Medium
Mercedes-Benz GLB 250 ,Mercedes-Benz GLB 250 
Mercedes-Benz EQE 350 4MATIC,Mercedes-Benz EQE 350 4MATIC
Mercedes-Benz AMG GLS 63 4MATIC,Other_High
Mercedes-Benz S-Class S 500 4MATIC,Mercedes-Benz S-Class S 500 4MATIC
