Name,Mileage,Rating,Review Count,Price,Year,Log_Price
Mercedes-Benz CLA 250 Base 4MATIC,1264,,1.0,41200.0,2023,10.626193535337618
Mercedes-Benz C-Class C 300 4MATIC,20027,4.6,5510.0,31563.0,2021,10.359740827476397
Mercedes-Benz CLA 250 Base 4MATIC,9300,,11.0,41999.0,2023,10.645401087458245
Mercedes-Benz GLC 300 Base 4MATIC,37650,4.8,160.0,31992.0,2020,10.373241150526654
Mercedes-Benz E-Class E 450,38475,4.8,1758.0,39982.0,2020,10.596184631815689
Mercedes-Benz AMG E 53 Base 4MATIC,37037,4.8,1905.0,60146.0,2020,11.004530218775948
Mercedes-Benz EQB 350 Base 4MATIC,2701,4.0,3563.0,56795.0,2023,10.947203572665522
Mercedes-Benz AMG GT 43 Base,36022,4.8,1001.0,72895.0,2021,11.196775328538923
Mercedes-Benz AMG GLE 63 S-Model 4MATIC,6190,4.8,558.0,108946.0,2023,11.598607625609755
Mercedes-Benz EQS 450+ Base,29259,4.7,733.0,52995.0,2022,10.877952848461355
Mercedes-Benz GLS 450 4MATIC,34546,4.9,2118.0,59900.0,2021,11.00043178410354
Mercedes-Benz AMG G 63 4MATIC,18730,4.5,344.0,193901.0,2022,12.17510299851502
Mercedes-Benz GLB 250 Base,5044,4.7,192.0,47305.0,2023,10.764371277138544
Mercedes-Benz GLS 450 Base 4MATIC,24609,4.6,87.0,55888.0,2020,10.931104967046613
Mercedes-Benz E-Class E 450 4MATIC,19291,4.6,1276.0,49741.0,2021,10.81458482169893
Mercedes-Benz GLA 250 ,11478,4.0,147.0,36900.0,2023,10.515966830028619
Mercedes-Benz GLB 250 Base 4MATIC,29329,4.5,97.0,33991.0,2020,10.43385106267516
Mercedes-Benz CLA 250 Base,26579,4.9,2375.0,29690.0,2020,10.298565567757805
Mercedes-Benz E-Class E 350,29006,4.9,7140.0,39999.0,2021,10.596609732783568
Mercedes-Benz C-Class C 300,2479,4.4,1515.0,52777.0,2024,10.873830768729865
Mercedes-Benz GLC 300 Base 4MATIC,29130,4.9,2375.0,39900.0,2022,10.594131602877955
Other_Medium,15029,4.7,662.0,59413.0,2020,10.992268336624281
Mercedes-Benz AMG GT 53 Base,30865,4.3,1491.0,79711.0,2021,11.286162872820631
Mercedes-Benz E-Class E 450 4MATIC,21010,4.9,328.0,41498.0,2020,10.633400512286396
Mercedes-Benz GLE 350 Base 4MATIC,23071,3.2,98.0,55995.0,2023,10.933017680016794
Mercedes-Benz AMG GLS 63 Base 4MATIC,32631,5.0,1502.0,95990.0,2021,11.471999298357582
Mercedes-Benz GLS 450 4MATIC,33569,4.3,1647.0,56705.0,2021,10.945617669249431
Mercedes-Benz EQB 300 Base 4MATIC,3095,4.7,2308.0,49777.0,2023,10.815308308938832
Mercedes-Benz GLA 250 Base 4MATIC,11886,,236.0,41990.0,2023,10.645186773678239
Mercedes-Benz GLE 350 Base,22243,4.5,1926.0,47845.0,2021,10.775721898213364
Mercedes-Benz GLC 300 Base,29078,4.7,1372.0,31900.0,2020,10.370361288772935
Mercedes-Benz GLC 300 Base 4MATIC,10881,4.8,1354.0,40594.0,2022,10.611375551417572
Mercedes-Benz CLA 250 Base 4MATIC,29414,4.2,862.0,33951.0,2021,10.432673587634051
Mercedes-Benz GLC 300 Base 4MATIC,5191,4.6,716.0,54493.0,2023,10.905827532035193
Mercedes-Benz GLC 300 Base 4MATIC,5522,4.5,919.0,52835.0,2023,10.87492912887513
Mercedes-Benz AMG GLC 43 Base 4MATIC,41950,4.2,821.0,41200.0,2020,10.626193535337618
Mercedes-Benz GLC 300 Base 4MATIC,16796,,236.0,41990.0,2022,10.645186773678239
Mercedes-Benz GLE 350 Base 4MATIC,33352,4.2,344.0,45998.0,2021,10.736353196265156
Mercedes-Benz C-Class C 300,10206,4.8,899.0,34958.0,2021,10.461902619895032
Mercedes-Benz GLE 350 Base 4MATIC,17770,4.2,7.0,57981.0,2022,10.967870649653577
Mercedes-Benz GLC 300 Base 4MATIC,32455,4.8,1094.0,28886.0,2020,10.271112327661113
Mercedes-Benz GLB 250 Base,4715,4.7,733.0,43803.0,2023,10.687457587169673
Mercedes-Benz GLC 300 Base 4MATIC,44092,,1.0,33600.0,2021,10.422281345951296
Mercedes-Benz EQB 250 Base,7211,4.8,2002.0,43995.0,2023,10.69183127007966
Mercedes-Benz GLB 250 Base,14688,,15.0,40122.0,2023,10.599680091282034
Mercedes-Benz AMG GLC 43 Base 4MATIC,27500,4.5,1334.0,40499.0,2019,10.60903256143177
Mercedes-Benz CLA 250 Base 4MATIC,53470,4.4,1038.0,29984.0,2020,10.308419185038149
Mercedes-Benz AMG GLE 53 Base,7390,,150.0,84994.0,2024,11.350335944745693
Mercedes-Benz AMG G 63 Base,58797,4.3,1491.0,150299.0,2019,11.920381922358985
Mercedes-Benz AMG E 63 S 4MATIC,18398,4.7,2931.0,74887.0,2019,11.223735589688202
Mercedes-Benz GLB 250 Base,32910,4.0,3563.0,31145.0,2021,10.346408997688245
Mercedes-Benz AMG E 63 S 4MATIC,39325,4.0,3563.0,86925.0,2021,11.372800956876063
Mercedes-Benz C-Class C 300,20721,4.6,827.0,31789.0,2020,10.366875596977243
Mercedes-Benz GLE 580 AWD 4MATIC,745,4.8,295.0,92676.0,2024,11.436864818357265
Mercedes-Benz CLS 450 Base 4MATIC,4904,4.9,2375.0,68990.0,2023,11.141716845540154
Mercedes-Benz S-Class S 580 4MATIC,17216,4.8,2195.0,99998.0,2022,11.512905464770226
Mercedes-Benz C-Class C 300,37143,4.4,1838.0,27996.0,2019,10.23981692180943
Mercedes-Benz GLE 450 4MATIC,19720,4.8,1354.0,71994.0,2023,11.184338061192443
Mercedes-Benz GLC 300 Base 4MATIC,15190,4.8,1905.0,39964.0,2022,10.59573432785291
Mercedes-Benz C-Class C 300 4MATIC,24190,4.7,2931.0,31756.0,2020,10.365836962845004
Mercedes-Benz GLB 250 Base 4MATIC,3755,3.9,1800.0,46900.0,2023,10.75577295443437
Mercedes-Benz GLC 300 4MATIC Coupe,22481,4.4,654.0,44157.0,2021,10.695506743860696
Mercedes-Benz G-Class G 550 4MATIC,29260,4.7,1594.0,119255.0,2019,11.689019336592777
Mercedes-Benz EQB 300 4MATIC,1890,4.9,1375.0,54998.0,2023,10.915052099917071
Mercedes-Benz GLB 250 Base,10641,4.6,76.0,39890.0,2023,10.593880944899452
Mercedes-Benz GLS 580 4MATIC,2505,4.4,297.0,97397.0,2023,11.486550688334916
Mercedes-Benz GLS 580 Base 4MATIC,20447,4.7,733.0,71995.0,2020,11.184351951142371
Mercedes-Benz E-Class E 350,47116,4.5,1492.0,35696.0,2021,10.482793916672314
Mercedes-Benz GLE 350 Base 4MATIC,63952,4.4,1870.0,43881.0,2022,10.689236703555197
Mercedes-Benz A-Class A 220,15069,4.0,526.0,34600.0,2022,10.451608961045816
Mercedes-Benz Metris Base,1549,,1.0,39950.0,2023,10.595383951194421
Mercedes-Benz S-Class S 500 4MATIC,7464,4.5,344.0,101888.0,2023,11.531629449764
Mercedes-Benz GLB 250 Base 4MATIC,44596,4.7,449.0,29500.0,2020,10.292145542327912
Mercedes-Benz A-Class A 220,36126,,1.0,34991.0,2021,10.462846164547514
Mercedes-Benz GLA 250 Base 4MATIC,8765,4.4,1231.0,43777.0,2023,10.686863844288563
Mercedes-Benz C-Class C 300,28137,,418.0,31933.0,2021,10.371395236823
Mercedes-Benz GLC 300 Base 4MATIC,49666,4.9,689.0,30497.0,2021,10.32538359710204
Mercedes-Benz GLS 450 ,3931,4.7,587.0,92857.0,2024,11.438815954353785
Mercedes-Benz C-Class C 300 4MATIC,4160,4.8,1354.0,49990.0,2023,10.819578264407616
Mercedes-Benz GLA 250 Base 4MATIC,10659,4.6,1847.0,40000.0,2023,10.596634733096073
Mercedes-Benz A-Class 4MATIC,17088,4.5,1102.0,30904.0,2022,10.338640904346118
Mercedes-Benz CLA 250 Base 4MATIC,9161,4.6,304.0,41800.0,2023,10.640651618512848
Mercedes-Benz GLB 250 Base 4MATIC,4163,4.8,1291.0,41600.0,2023,10.635855446249355
Mercedes-Benz EQS 580 Base 4MATIC,6307,4.9,2166.0,109554.0,2023,11.604172857364787
Mercedes-Benz GLE 350 ,36812,4.9,848.0,45142.0,2020,10.717568355991702
Mercedes-Benz EQS 450+ Base,22116,4.9,2166.0,81004.0,2023,11.302253815151339
Mercedes-Benz GLB 250 Base 4MATIC,21062,4.4,295.0,32339.0,2020,10.384029211193527
Mercedes-Benz GLC 300 Base 4MATIC,37925,,,34500.0,2021,10.448714603019452
Mercedes-Benz E-Class 4MATIC,2977,4.7,192.0,64502.0,2023,11.074451510055072
Mercedes-Benz GLB 250 Base,6675,4.7,192.0,46401.0,2023,10.74507628970625
Mercedes-Benz GLE 450 4MATIC,8028,4.8,2195.0,73887.0,2023,11.210292178065234
Mercedes-Benz GLB 250 Base 4MATIC,4497,4.9,274.0,42495.0,2023,10.657141700932726
Mercedes-Benz AMG E 53 Base 4MATIC,52740,4.0,3563.0,53510.0,2021,10.88762383130535
Mercedes-Benz EQS 450 Base 4MATIC,5439,4.0,3563.0,103044.0,2023,11.542911360460485
Mercedes-Benz AMG GLB 35 Base,11619,4.6,1915.0,46980.0,2023,10.757477258212903
Mercedes-Benz GLC 300 4MATIC Coupe,45570,4.6,1171.0,37840.0,2020,10.541122023165814
Mercedes-Benz GLE 350 Base 4MATIC,9838,4.5,2465.0,64815.0,2024,11.079292337034143
Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,2552,4.6,348.0,70990.0,2024,11.170294301033431
Mercedes-Benz S-Class S 560 4MATIC,13705,,599.0,77995.0,2019,11.26440000105297
Mercedes-Benz A-Class A 220 4MATIC,10605,4.6,696.0,33999.0,2022,10.434086391401058
Mercedes-Benz CLA 250 ,26732,,50.0,29211.0,2020,10.282300629646866
Mercedes-Benz C-Class C 300,6916,4.7,775.0,45877.0,2024,10.733719181136808
Mercedes-Benz C-Class 4MATIC Coupe,8603,4.7,192.0,46908.0,2023,10.755943515580956
Mercedes-Benz AMG GLE 53 4MATIC,21501,4.3,112.0,79997.0,2023,11.289744412952876
Mercedes-Benz A-Class A 220,52979,4.0,526.0,26995.0,2020,10.203406942652387
Mercedes-Benz C-Class C 300 4MATIC,6118,4.9,274.0,47495.0,2023,10.768379721324283
Mercedes-Benz A-Class A 220 4MATIC,41887,4.9,2516.0,28995.0,2021,10.274878680310541
Mercedes-Benz AMG GLE 53 Base,31835,4.9,2501.0,72661.0,2021,11.193560068411013
Mercedes-Benz GLE 350 Base 4MATIC,12889,5.0,2881.0,61998.0,2024,11.03485740544241
Mercedes-Benz S-Class S 500 4MATIC,19341,4.8,823.0,98900.0,2023,11.501864517610803
Mercedes-Benz GLA 250 Base,35428,4.7,1948.0,28550.0,2021,10.259412215084156
Mercedes-Benz GLB 250 Base 4MATIC,3160,4.6,696.0,43888.0,2023,10.689396213177384
